filename,is_mainnet_fork,has_analysis_comment
src/test/2020-06/Bancor_exp.sol,True,False
src/test/2020-06/Balancer_20200628_exp.sol,True,False
src/test/2024-09/OTSeaStaking_exp.sol,True,True
src/test/2024-09/MARA_exp.sol,False,False
src/test/2024-09/Bedrock_DeFi_exp.sol,True,False
src/test/2024-09/Caterpillar_Coin_CUT_exp.sol,False,True
src/test/2024-09/Penpiexyzio_exp.sol,True,False
src/test/2024-09/OnyxDAO_exp.sol,True,False
src/test/2024-09/Bankroll_exp.sol,False,True
src/test/2024-07/GAX_exp.sol,False,False
src/test/2024-07/DeFiPlaza_exp.sol,True,False
src/test/2024-07/MRP_exp.sol,False,False
src/test/2024-07/SBT_exp.sol,False,False
src/test/2024-07/LW_exp.sol,False,False
src/test/2024-07/Minterest_exp.sol,False,False
src/test/2024-07/DoughFina_exp.sol,True,False
src/test/2024-07/UnverifiedContr_0x452E25_exp.sol,True,False
src/test/2024-07/Spectra_finance_exp.sol,True,False
src/test/2024-07/Lifiprotocol_exp.sol,True,False
src/test/2024-07/MEVbot_0xdd7c_exp.sol,True,False
src/test/2023-10/DePayRouter_exp.sol,True,True
src/test/2023-10/UniBot_exp.sol,True,True
src/test/2023-10/Astrid_exp.sol,True,True
src/test/2023-10/Platypus03_exp.sol,False,True
src/test/2023-10/ZS_exp.sol,False,True
src/test/2023-10/pSeudoEth_exp.sol,True,True
src/test/2023-10/LaEeb_exp.sol,False,False
src/test/2023-10/WiseLending_exp.sol,True,True
src/test/2023-10/kTAF_exp.sol,True,True
src/test/2023-10/BelugaDex_exp.sol,False,True
src/test/2023-10/OpenLeverage_exp.sol,False,True
src/test/2023-10/BH_exp.sol,False,True
src/test/2023-10/MaestroRouter2_exp.sol,True,True
src/test/2023-10/StarsArena_exp.sol,False,True
src/test/2023-10/MicDao_exp.sol,False,True
src/test/2023-10/Hopelend_exp.sol,True,True
src/test/2020-08/Opyn_exp.sol,True,False
src/test/2023-11/3913_exp.sol,False,True
src/test/2023-11/WECO_exp.sol,False,True
src/test/2023-11/EHX_exp.sol,False,True
src/test/2023-11/OnyxProtocol_exp.sol,True,True
src/test/2023-11/Token8633_9419_exp.sol,False,False
src/test/2023-11/MEV_0xa247_exp.sol,True,True
src/test/2023-11/FiberRouter_exp.sol,False,False
src/test/2023-11/CAROLProtocol_exp.sol,False,True
src/test/2023-11/TrustPad_exp.sol,False,True
src/test/2023-11/MEV_0x8c2d_exp.sol,False,True
src/test/2023-11/OKC_exp.sol,False,True
src/test/2023-11/Burntbubba_exp.sol,True,True
src/test/2023-11/EEE_exp.sol,False,True
src/test/2023-11/MahaLend_exp.sol,True,True
src/test/2023-11/KR_exp.sol,False,False
src/test/2023-11/SwampFinance_exp.sol,False,True
src/test/2023-11/MetaLend_exp.sol,True,True
src/test/2023-11/BRAND_exp.sol,False,False
src/test/2023-11/TheNFTV2_exp.sol,True,True
src/test/2023-11/XAI_exp.sol,False,True
src/test/2023-11/bot_exp.sol,True,True
src/test/2023-11/grok_exp.sol,True,True
src/test/2023-11/Raft_exp.sol,True,True
src/test/2023-11/RBalancer_exp.sol,True,False
src/test/2023-11/ShibaToken_exp.sol,False,False
src/test/2023-11/LinkDao_exp.sol,False,True
src/test/2023-11/AIS_exp.sol,False,True
src/test/2023-11/TheStandard_io_exp.sol,False,True
src/test/2024-06/NCD_exp.sol,False,False
src/test/2024-06/YYS_exp.sol,False,False
src/test/2024-06/Crb2_exp.sol,False,True
src/test/2024-06/MineSTM_exp.sol,False,False
src/test/2024-06/Velocore_exp.sol,False,True
src/test/2024-06/Bazaar_exp.sol,False,True
src/test/2024-06/UwuLend_First_exp.sol,True,False
src/test/2024-06/UwuLend_Second_exp.sol,True,False
src/test/2024-06/SteamSwap_exp.sol,False,True
src/test/2024-06/WIFCOIN_ETH_exp.sol,True,False
src/test/2024-06/APEMAGA_exp.sol,True,False
src/test/2024-06/INcufi_exp.sol,False,False
src/test/2024-06/Will_exp.sol,False,False
src/test/2024-06/Dyson_money_exp.sol,False,False
src/test/2024-06/JokInTheBox_exp.sol,True,False
src/test/2020-09/bzx_exp.sol,True,True
src/test/2024-01/Bmizapper_exp.sol,True,False
src/test/2024-01/PeapodsFinance_exp.sol,True,False
src/test/2024-01/MIMSpell2_exp.sol,True,True
src/test/2024-01/CitadelFinance_exp.sol,False,True
src/test/2024-01/LQDX_alert_exp.sol,True,False
src/test/2024-01/MIC_exp.sol,False,True
src/test/2024-01/OrbitChain_exp.sol,True,True
src/test/2024-01/XSIJ_exp.sol,False,False
src/test/2024-01/Shell_MEV_0xa898_exp.sol,False,False
src/test/2024-01/Gamma_exp.sol,False,True
src/test/2024-01/BarleyFinance_exp.sol,True,True
src/test/2024-01/SocketGateway_exp.sol,True,True
src/test/2024-01/WiseLending02_exp.sol,True,True
src/test/2024-01/NBLGAME_exp.sol,False,True
src/test/2024-01/Freedom_exp.sol,False,False
src/test/2024-01/RadiantCapital_exp.sol,False,True
src/test/2024-01/WiseLending03_exp.sol,True,True
src/test/2024-01/DAO_SoulMate_exp.sol,True,True
src/test/2017-11/Parity_kill_exp.sol,True,False
src/test/2024-08/IvestDao_exp.sol,False,False
src/test/2024-08/NovaXM2E_exp.sol,False,False
src/test/2024-08/OMPxContract_exp.sol,True,True
src/test/2024-08/YodlRouter_exp.sol,True,True
src/test/2024-08/Convergence_exp.sol,True,False
src/test/2024-08/Zenterest_exp.sol,True,False
src/test/2024-08/VOW_exp.sol,True,True
src/test/2018-04/SmartMesh_exp.sol,True,True
src/test/2018-04/BEC_exp.sol,True,False
src/test/2022-11/Annex_exp.sol,False,True
